latitude,longitude,rock_group,rock_type,density_model,thermal_conductivity,heat_production,heat_production_mass
-79.79649112,158.5096363,igneous,plutonic,2639.817811,4.586968193,2.867470027,0.001086238
-79.79649112,158.5096363,igneous,plutonic,2639.834759,4.5868885,3.369516472,0.001276412
-79.79649112,158.5096363,igneous,plutonic,2641.016834,4.586917172,1.525242882,0.000577521
-79.79649112,158.5096363,igneous,plutonic,2650.823586,4.586800051,1.762534342,0.000664901
-79.79649112,158.5096363,igneous,plutonic,2658.190918,4.586944247,1.995315573,0.000750629
-79.79649112,158.5096363,igneous,plutonic,2665.965062,4.586895198,2.251067203,0.000844372
-79.79649112,158.5096363,igneous,plutonic,2685.172191,4.586924494,1.134441557,0.000422484
-79.79649112,158.5096363,igneous,plutonic,2686.506634,4.587027622,1.730672845,0.000644209
-79.79649112,158.5096363,igneous,plutonic,2689.332088,4.586982596,1.76783413,0.000657351
-79.79649112,158.5096363,igneous,plutonic,2693.44422,4.587098946,2.004789327,0.000744322
-79.78827065,158.7001458,metamorphic,metaplutonic,2935.067158,4.590224412,0.629249097,0.00021439
-79.786933,158.536181,metamorphic,metaplutonic,2641.843566,4.586955112,1.918055486,0.000726029
-79.78562063,158.7351637,metamorphic,metaplutonic,2906.763205,4.589692051,1.205545498,0.000414738
-79.753968,158.878971,metamorphic,metaplutonic,2646.673222,4.586901092,1.771139603,0.000669195
-79.66093904,158.475727,igneous,plutonic,2688.970367,4.587211812,0.9927139,0.00036918
-79.66093283,159.7637252,igneous,plutonic,2615.463469,4.586876744,1.87963448,0.000718662
-79.66093283,159.7637252,igneous,plutonic,2616.610066,4.586883187,1.631848616,0.00062365
-79.66093283,159.7637252,igneous,plutonic,2619.815681,4.586876709,2.180530884,0.000832322
-79.66093283,159.7637252,igneous,plutonic,2620.194601,4.586916456,3.57836534,0.001365687
-79.66093283,159.7637252,igneous,plutonic,2628.215991,4.586945609,2.681084501,0.001020116
-79.66093283,159.7637252,igneous,plutonic,2628.759391,4.586877897,1.977317584,0.000752187
-79.66093283,159.7637252,igneous,plutonic,2635.910095,4.586932494,1.872789723,0.000710491
-79.66093283,159.7637252,igneous,plutonic,2649.834744,4.586922035,1.97261165,0.000744428
-79.66093283,159.7637252,igneous,plutonic,2668.48307,4.58695099,1.45176303,0.000544041
-79.66093283,159.7637252,igneous,plutonic,2688.798233,4.587205157,1.191988707,0.000443317
-79.65277778,-23.9625,metamorphic,"not defined, metamorphic",2964.29815,4.589247568,0.270572731,0.0000913
-79.65010826,158.7612717,igneous,plutonic,2635.06443,4.586914412,3.29989707,0.001252302
-79.6428737,159.7969209,metamorphic,metaigneous,2801.139602,4.587899186,1.215161509,0.00043381
-79.6428737,159.7969209,metamorphic,metaigneous,2819.647183,4.588033259,0.84584936,0.000299984
-79.6428737,159.7969209,metamorphic,metaigneous,2905.586113,4.588988828,1.080165586,0.000371755
-79.64011109,158.3012921,igneous,plutonic,2633.7704,4.586852324,1.629902169,0.000618847
-79.64011109,158.3012921,igneous,plutonic,2636.904847,4.586873202,2.429724645,0.000921431
-79.6401084,158.8512659,igneous,plutonic,2671.794632,4.586959653,1.77876617,0.000665757
-79.6401084,158.8512659,igneous,plutonic,2677.835341,4.587124702,1.466515237,0.00054765
