X,Y,Name,Lo,La,Uncertaint,Type,Input,Measured,Predicted,Error,Mis_Shen,StdError,Stdd_Error,NormValue,Source_ID,Field15,Iso_35_1,Iso_25_1,Ocean_1
-817467.6197,-588275.8883,OND,-125.74,-80.75,1,4,29,26,29.13999939,-3.431597951,0.13999939,3.997161915,-0.858508618,-0.896376634,46,0,33.64500046,23.64500046,8.042300224
-1068384.555,-762915.6349,ST08,-125.53,-77.96,2,4,25,25,30.51399994,0.493892049,5.513999939,3.712983351,0.133017577,0.199780404,47,0,35.97200012,25.97200012,7.582799911
-1069278.228,-763553.7918,ST08,-125.53,-77.95,3,5,26,25,30.51399994,-0.709311136,4.513999939,3.711676809,-0.191102613,-0.195381027,48,0,35.97200012,25.97200012,7.582799911
-1187472.92,-795544.2411,ST12,-123.82,-76.9,2,4,22,25,29.80699921,3.213378591,7.806999207,3.86495982,0.831413194,0.839778289,49,0,38.94900131,28.9489994,6.724899769
-1028914.7,-688798.3564,ST07,-123.8,-78.64,3,4,25,26,29.29599953,1.257934165,4.295999527,3.734783881,0.336815785,0.460107741,51,0,34.82099915,24.82099915,7.893400192
-1029034.903,-688618.7664,ST07,-123.79,-78.64,3,5,27,26,29.29599953,-1.181801836,2.295999527,3.736834151,-0.316257502,-0.375348874,52,0,34.82099915,24.82099915,7.893400192
-987827.3465,-612956.383,ST06,-121.82,-79.33,3,5,27,25,29.47200012,-1.649412009,2.472000122,3.728804776,-0.442343354,-0.51354071,54,0,33.97399902,23.97400093,8.156100273
-713231.9496,-418450.6994,,-120.4,-82.4,0,6,27,26,31.37100029,-0.795824942,4.37100029,3.94755,-0.201599712,-0.213002127,55,0,32.8769989,22.87700081,8.218099594
-946348.4828,-534764.2858,BYRD,-119.47,-80.02,1,4,28,25,29.09499931,-3.378387056,1.094999313,3.68236489,-0.917450377,-0.929094839,56,0,35.27899933,25.27899933,7.700099945
-946348.4828,-534764.2858,BYRD,-119.47,-80.02,2,4,25,25,28.85000038,0.130756944,3.850000381,3.682394586,0.035508673,0.064760242,57,0,35.27899933,25.27899933,7.700099945
-946348.4828,-534764.2858,BYRD,-119.47,-80.02,2,5,26,25,28.85000038,-1.051053112,2.850000381,3.68053718,-0.285570573,-0.333996644,58,0,35.27899933,25.27899933,7.700099945
-723207.0072,-407672.5214,WNDY,-119.41,-82.37,4,4,22,28,30.76199913,5.714893131,8.76199913,3.886509659,1.470443568,1.31768961,59,0,35.0719986,25.0720005,7.466899872
-903625.234,-452107.3572,ST04,-116.58,-80.72,3,4,22,25,30.81100082,3.046230754,8.811000824,3.74836508,0.812682513,0.821503149,60,0,32.73400116,22.73399925,8.611100197
-903625.234,-452107.3572,ST04,-116.58,-80.72,3,5,20,25,30.81100082,5.469629394,10.81100082,3.735721655,1.464142647,1.297403886,61,0,32.73400116,22.73399925,8.611100197
-507115.3264,-252396.4885,BENN,-116.46,-84.79,3,5,31,26,31.92700005,-5.046418821,0.927000046,4.409759527,-1.14437506,-1.31768961,62,0,41.05699921,31.05699921,5.582099915
-773969.6202,-374151.5332,,-115.8,-82.1,0,6,32,25,30.75699997,-6.517425007,1.243000031,3.753013052,-1.73658469,-1.830831861,63,0,35.17300034,25.17300034,7.61070013
-798371.7344,-347141.9099,,-113.5,-82,0,6,30,26,30.29400063,-3.800847749,0.294000626,3.722691643,-1.020994515,-1.126635236,64,0,35.35300064,25.35300064,7.618199825
-859718.1087,-367587.9193,ST03,-113.15,-81.41,2,4,25,25,28.4470005,0.285594407,3.447000504,3.712200614,0.076933991,0.134145595,65,0,36.70800018,26.70800018,7.227399826
-1566885.53,-629248.6996,BEAR,-111.88,-74.55,3,5,33,23,29.21299934,-10.05604138,3.787000656,4.955533576,-2.029255018,-2.058033498,67,0,35.0359993,25.0359993,7.049099922
-1070404.163,-427697.7652,WAIS,-111.78,-79.42,2,4,24,24,28.96699905,0.384096466,4.966999054,3.734119999,0.102861308,0.169060929,68,0,33.20899963,23.20899963,8.572500229
-1070404.163,-427697.7652,WAIS,-111.78,-79.42,2,5,25,24,28.96699905,-0.83206618,3.966999054,3.735937019,-0.222719542,-0.235122576,69,0,33.20899963,23.20899963,8.572500229
-815332.1086,-282652.8267,ST02,-109.12,-82.07,2,4,32,27,31.04700089,-4.776291313,0.952999115,3.712392247,-1.286580457,-1.428374259,72,0,36.65000153,26.64999962,7.333799839
-1280452.351,-441895.2521,UPTW,-109.04,-77.58,10,4,21,24,28.95800018,2.933685556,7.958000183,3.716238969,0.78942328,0.803498345,73,0,32.79899979,22.79899979,8.459799767
-1280452.351,-441895.2521,UPTW,-109.04,-77.58,10,5,19,24,28.95800018,5.345745056,9.958000183,3.719902224,1.437066013,1.248893687,74,0,32.79899979,22.79899979,8.459799767
-1174877.889,-404542.8993,MA10,-109,-78.6,5,5,28,23,28.62199974,-4.99964731,0.621999741,3.841739678,-1.301401899,-1.452727306,76,0,37.24499893,27.24500084,7.053500175
-1407178.474,-451253.8105,DNTW,-107.78,-76.46,2,4,24,24,27.23500061,0.166591707,3.23500061,3.752519838,0.044394624,0.077736227,77,0,33.26200104,23.26199913,8.142000198
-893750.0103,-278372.1294,,-107.3,-81.4,0,6,30,26,29.77799988,-3.570716168,0.222000122,3.860678719,-0.924893375,-0.935758393,80,0,36.33200073,26.33200073,7.558300018
-1062639.464,-284733.3862,MA09,-105,-79.9,5,5,24,25,27.38199997,0.770950486,3.381999969,3.895306672,0.19791779,0.297714835,81,0,35.02899933,25.02899933,8.033800125
-771390.6503,-197915.9536,WHIT,-104.39,-82.68,3,4,30,28,31.33600044,-1.829870849,1.336000443,3.780047519,-0.484086732,-0.543306052,82,0,42.07600021,32.07600021,5.626699924
-771390.6503,-197915.9536,WHIT,-104.39,-82.68,2,5,31,28,31.33600044,-3.074635465,0.336000443,3.776446104,-0.814161087,-0.852119036,83,0,42.07600021,32.07600021,5.626699924
-2772432.96,-706684.3001,,-104.3,-64.1,0,6,10,31,0,20.67536439,0,9.939990919,2.080018438,2.13572008,84,0,21.92499924,11.92500019,12.61400032
-1339117.519,-309159.6393,MA08,-103,-77.4,5,5,20,24,28.69400024,3.691951515,8.694000244,3.884269105,0.950488088,0.922472287,85,0,32.00299835,22.00300026,8.757900238
-1525602.097,-276698.8013,PIGD,-100.28,-75.8,5,5,25,24,28.55599976,-0.894349844,3.555999756,3.88710686,-0.230081106,-0.24400246,86,0,35.0890007,25.0890007,7.365399837
-1126511.701,-198837.1396,MTM,-100.01,-79.5,1,4,23,24,27.73500061,1.41327146,4.73500061,3.872745766,0.364927508,0.503720469,87,0,33.24499893,23.24500084,8.64659977
-727848.4032,-111896.5445,ST01,-98.74,-83.23,3,4,28,28,31.85700035,0.008356257,3.857000351,3.867669293,0.002160541,0.021573347,88,0,35.26599884,25.26600075,7.954500198
-1683232.463,-226983.6863,PIG2,-97.68,-74.46,5,5,28,26,30.50200081,-2.499717458,2.502000809,3.892374167,-0.642208932,-0.705970404,90,0,36.08599854,26.08600044,7.139100075
-1251262.899,-166731.8467,MA04,-97.59,-78.42,2,5,24,24,26.8939991,-0.24213272,2.8939991,3.77009258,-0.064224609,-0.064760242,91,0,34.34199905,24.34199905,8.131999969
-1541315.253,-205107.7893,PIG4,-97.58,-75.76,2,5,24,25,30.1760006,0.804295294,6.176000595,3.887364075,0.206899914,0.320341965,92,0,34.04199982,24.04199982,7.705500126
-1736276.829,-231051.9547,PIG1,-97.58,-73.98,5,5,28,26,31.45000076,-1.640277005,3.450000763,3.951064795,-0.41514809,-0.474544229,93,0,36.26399994,26.26399994,7.097499847
-1140496.914,-151364.4613,MA06,-97.56,-79.44,2,5,25,24,29.08699989,-1.289985983,4.086999893,3.91751998,-0.329286383,-0.384623554,94,0,33.30099869,23.3010006,8.611200333
-1194813.733,-158573.2804,MA05,-97.56,-78.94,2,5,24,24,28.12199974,-0.116480336,4.121999741,3.80028682,-0.030650407,-0.025888898,95,0,33.18399811,23.18400002,8.61950016
-1303581.703,-173008.7471,MA03,-97.56,-77.94,2,5,25,23,28.44400024,-1.604379989,3.444000244,3.773176634,-0.425206701,-0.489080305,96,0,32.86600113,22.86599922,8.587200165
-1358036.96,-180235.9395,MA02,-97.56,-77.44,2,5,24,24,28.30699921,-0.403635448,4.306999207,3.802857728,-0.106140034,-0.116751712,97,0,31.77000046,21.77000046,8.927300453
-1412542.481,-187469.8029,MA01,-97.56,-76.94,2,5,24,24,29.36300087,-0.442549256,5.36300087,3.853210496,-0.114852084,-0.129793523,98,0,35.1230011,25.12299919,7.651500225
-1895784.325,-251604.6905,THUR,-97.56,-72.53,5,5,30,26,33.78900146,-3.737975731,3.789001465,4.1734826,-0.895649051,-0.915889947,100,0,34.43700027,24.43700027,7.214399815
-1616113.936,-211904.6334,PIG3,-97.47,-75.08,2,5,23,26,29.97999954,2.83872922,6.979999542,3.878790385,0.731859404,0.779889167,101,0,35.27700043,25.27700043,7.225200176
-1278589.235,-78201.86772,MA07,-93.5,-78.25,2,5,22,28,34.20299911,5.702440727,12.20299911,3.894842901,1.464100317,1.287458295,102,0,32.99599838,22.99600029,8.576999664
-1357892.868,76631.23198,HOWD,-86.77,-77.53,4,4,36,32,42.0870018,-3.842751382,6.087001801,3.872535177,-0.992308967,-1.079082884,103,0,40.32899857,30.32900047,5.870500088
-630423.1304,41541.12462,STEW,-86.23,-84.19,2,5,29,31,31.92499924,2.057461083,2.924999237,4.18502613,0.491624429,0.599179259,105,0,39.10200119,29.10199928,6.350399971
-1576945.719,118294.3629,ELSW,-85.71,-75.52,5,5,31,31,36.20399857,-0.145468561,5.203998566,4.378707018,-0.033221807,-0.030204931,106,0,34.49700165,24.49699974,7.808700085
-1467014.197,110305.3516,KEAL,-85.7,-76.52,5,5,31,32,41.7179985,0.740381087,10.7179985,4.016767055,0.184322635,0.288707135,107,0,33.51699829,23.5170002,8.057999611
-1104874.606,145067.1608,UNGL,-82.52,-79.77,3,5,37,33,37.53699875,-3.840112422,0.536998749,3.844886763,-0.998758262,-1.094658905,108,0,34.39500046,24.39500046,7.491700172
-1104874.606,145067.1608,UNGL,-82.52,-79.77,5,5,37,33,37.53699875,-3.840112422,0.536998749,3.844886763,-0.998758262,-1.102547413,109,0,34.39500046,24.39500046,7.491700172
-1070111.065,177923.3801,WILS,-80.56,-80.04,2,5,37,33,37.88999939,-4.253822856,0.88999939,3.935601114,-1.080857214,-1.194306727,111,0,37.68299866,27.68300056,6.450200081
-1405558.528,265583.0409,FOWL,-79.3,-76.89,5,5,32,33,35.5909996,1.065513974,3.590999603,4.137073137,0.257552608,0.370723664,112,0,38.17399979,28.17399979,6.540500164
-1530808.599,491783.6066,MECK,-72.19,-75.28,5,5,37,29,32.73199844,-7.605855393,4.268001556,5.917339976,-1.285350415,-1.416509088,113,0,39.56600189,29.56599998,5.931200027
-1902159.28,735126.6733,ATOL,-68.87,-71.39,5,5,30,32,0,2.313127292,0,6.854903716,0.337441252,0.464909108,115,0,35.65100098,25.65099907,7.16960001
-2348292.791,915561.1009,,-68.7,-67.1,0,6,22,35,0,12.91265173,0,6.693452513,1.929146685,1.830831861,116,0,34.40200043,24.40200043,9.356399536
-444155.4177,174509.8849,PECA,-68.55,-85.61,5,4,36,35,38.25999832,-1.400893678,2.259998322,4.803747494,-0.29162517,-0.338561951,117,0,39.67900085,29.67900085,6.118599892
-2324074.462,915477.2767,,-68.5,-67.3,0,6,36,32,0,-4.346980736,0,6.653354602,-0.653351729,-0.717084658,118,0,35.63000107,25.62999916,8.885899544
-2154826.653,883758.8171,,-67.7,-68.8,0,6,26,33,0,6.728164651,0,6.844410367,0.983015964,0.935758393,119,0,34.99399948,24.99399948,7.002200127
-2311065.862,947837.1864,,-67.7,-67.3,0,6,24,35,0,10.54275999,0,6.57183012,1.604235014,1.531501739,120,0,34.99700165,24.99699974,7.000999928
-2278121.103,938973.7606,,-67.6,-67.6,0,6,42,31,0,-11.13809445,0,6.645049258,-1.676149268,-1.726055954,121,0,35.62099838,25.62100029,7.115099907
-1565092.847,648282.6837,,-67.5,-74.5,0,6,28,32,34.60499954,4.425918897,6.604999542,6.474736879,0.683567376,0.739583924,122,0,40.25,30.25,6.218999863
-2410441.642,1003370.014,,-67.4,-66.3,0,6,38,36,0,-2.431120345,0,6.688246989,-0.363491412,-0.441006556,123,0,34.92399979,24.92399979,10.02999973
-2116855.939,916045.3648,,-66.6,-69,0,6,30,32,0,2.372091758,0,6.895545931,0.344003474,0.469721218,124,0,35.42599869,25.4260006,6.970200062
-2402942.772,1049819.883,,-66.4,-66.2,0,6,42,36,0,-5.977527628,0,6.626754833,-0.902029391,-0.922472287,125,0,33.67300034,23.67300034,9.685500145
-2423544.75,1114706.04,,-65.3,-65.8,0,6,43,39,0,-4.465206763,0,6.677188056,-0.668725626,-0.722675093,126,0,34.43000031,24.43000031,9.161600113
-2680270.454,1238458.819,,-65.2,-63.3,0,6,37,28,0,-8.699009986,0,6.897856298,-1.261117891,-1.404840052,127,0,27.79999924,17.79999924,10.29599953
-2448733.939,1167986.175,,-64.5,-65.4,0,6,38,39,0,1.171942234,0,6.555097701,0.178783336,0.275239131,128,0,33.875,23.875,9.220899582
-2633945.889,1256327.743,,-64.5,-63.6,0,6,25,32,0,7.380228877,0,6.597336844,1.118667889,1.004839398,129,0,34.0019989,24.00200081,10.97500038
-2483531.088,1200585.837,,-64.2,-65,0,6,38,38,0,0.408201133,0,6.43228151,0.063461329,0.108068327,130,0,34.02600098,24.02599907,10.34300041
-2479325.131,1209247.664,,-64,-65,0,6,36,39,0,2.597779661,0,6.414293798,0.404998546,0.518469405,131,0,35.86700058,25.86700058,8.847999573
-2499786.4,1219227.292,**PMSA,-64,-64.8,2,4,36,37,0,1.145866851,0,6.406983157,0.178846553,0.2797228,132,0,34.02600098,24.02599907,10.34300041
-2499786.4,1219227.292,PMSA,-64,-64.8,2,4,40,37,0,-3.393433529,0,6.405031484,-0.529807471,-0.604349938,133,0,34.02600098,24.02599907,10.34300041
-2592054.645,1264229.522,,-64,-63.9,0,6,38,33,0,-4.871365378,0,6.503109894,-0.749082432,-0.803498345,134,0,33.79800034,23.79800034,11.61200047
-1896302.416,931863.4785,WELC,-63.83,-70.73,5,5,37,31,0,-5.561196823,0,7.280604116,-0.763837277,-0.821503149,135,0,41.94800186,31.94799995,5.375800133
-2478862.977,1235915.489,,-63.5,-64.9,0,6,38,37,0,-1.254211,0,6.429321512,-0.195076727,-0.204183652,136,0,34.13199997,24.13199997,9.153400421
-2519640.476,1256246.4,,-63.5,-64.5,0,6,41,36,0,-4.812473495,0,6.410313324,-0.7507392,-0.809470765,137,0,42.86299896,32.86299896,8.65680027
-2591151.318,1291900.391,,-63.5,-63.8,0,6,25,34,0,9.476764546,0,6.530876105,1.451070943,1.267940278,138,0,33.47999954,23.47999954,11.76200008
-2535616.345,1275282.163,,-63.3,-64.3,0,6,40,35,0,-5.404137824,0,6.418261758,-0.84199399,-0.877198806,139,0,35.68399811,25.68400002,10.21399975
-2725182.406,1382563.944,,-63.1,-62.4,0,6,14,24,0,10.49901425,0,6.740596826,1.557579325,1.452727306,140,0,25.15099907,15.15100002,12.18099976
-1689420.222,860059.9105,BREN,-63.02,-72.68,5,5,34,33,0,-0.96358676,0,6.710856531,-0.143586255,-0.138500208,141,0,40.2840004,30.2840004,5.763400078
-2528904.256,1288541.078,,-63,-64.3,0,6,38,35,0,-3.371605917,0,6.447455703,-0.522935879,-0.59402455,142,0,34.39500046,24.39500046,10.88500023
-2549242.262,1298903.81,,-63,-64.1,0,6,24,35,0,11.09561691,0,6.485655131,1.710793541,1.688986441,143,0,33.27600098,23.27599907,11.51200008
-2477116.336,1289505.145,DSS6,-62.5,-64.7,1,1,34,36,0,1.75049831,0,6.597965313,0.265308808,0.384623554,144,0,38.05899811,28.05900002,6.284699917
-2685265.824,1409796.075,,-62.3,-62.6,0,6,21,22,0,1.112811622,0,6.718054105,0.165644933,0.257358689,145,0,33.91199875,23.91200066,9.344900131
-1453783.291,789339.9238,D000,-61.5,-74.86,1,1,37,32,37.16799927,-4.778771396,0.167999268,6.623072499,-0.72153391,-0.785750324,146,0,33.80099869,23.8010006,7.456699848
-1467928.196,800340.4338,,-61.4,-74.7,0,6,33,33,36.5890007,0.030844624,3.589000702,6.624620104,0.004656059,0.025888898,147,0,33.49100113,23.49099922,7.57490015
-2733483.4,1490343.531,,-61.4,-61.9,0,6,18,20,0,2.084664499,0,6.666028515,0.31272961,0.4505366,148,0,28.85000038,18.85000038,10.54599953
-1462305.039,810568.9189,RIS51,-61,-74.7,1,2,33,33,0,0.043451183,0,6.620435564,0.006563191,0.034521527,149,0,33.49100113,23.49099922,7.57490015
-2672689.886,1481496.195,,-61,-62.4,0,6,10,25,0,15.05107203,0,6.481836214,2.322038314,2.228945135,150,0,34.72100067,24.72100067,10.05099964
-2569780.273,1453911.724,,-60.5,-63.3,0,6,22,30,0,7.793715611,0,6.544815208,1.190822867,1.033853137,151,0,33.72000122,23.71999931,9.869299889
-2599703.65,1470841.557,,-60.5,-63,0,6,40,27,0,-13.24874639,0,6.470568956,-2.047539634,-2.13572008,152,0,33.0530014,23.0529995,10.40299988
-2679678.088,1516088.916,,-60.5,-62.2,0,6,25,22,0,-2.942447115,0,6.482697549,-0.453892395,-0.528364863,153,0,34.6230011,24.62299919,9.0145998
